features_removed,accuracy,f1_macro
"total_in_degree,total_out_degree",0.8254281949934124,0.8201102493825471
"total_in_degree,total_unique_in",0.8237812911725956,0.8186020814759496
"total_in_degree,total_unique_out",0.8274044795783926,0.8223520940794751
"total_in_degree,avg_in_transaction",0.8293807641633728,0.8244662042460782
"total_in_degree,avg_out_transaction",0.8241106719367589,0.8188787001287001
"total_in_degree,total_received",0.8287220026350461,0.8235455067321673
"total_in_degree,total_sent",0.8254281949934124,0.820235413985414
"total_in_degree,net_balance",0.8247694334650857,0.8197220476040803
"total_in_degree,avg_in_time_interval",0.8287220026350461,0.8237884675829357
"total_in_degree,avg_out_time_interval",0.8231225296442688,0.8179655935709162
"total_in_degree,avg_active_duration",0.8188405797101449,0.8141163793103448
"total_in_degree,in_out_ratio",0.8287220026350461,0.8239075760164867
"total_in_degree,unique_in_ratio",0.8211462450592886,0.8154584350278684
"total_in_degree,unique_out_ratio",0.8264163372859025,0.8217151812291326
"total_in_degree,volume_ratio",0.8274044795783926,0.8221881644762608
"total_in_degree,net_balance_ratio",0.8267457180500659,0.8216331773352247
"total_in_degree,activity_index",0.8264163372859025,0.8213145737155616
"total_in_degree,time_interval_ratio",0.8287220026350461,0.823421641899555
"total_in_degree,weighted_avg_tx",0.8300395256916996,0.8251439409092207
"total_in_degree,wallet_lifetime_sec",0.8112648221343873,0.8060246680110321
"total_out_degree,total_unique_in",0.8264163372859025,0.8213961151858936
"total_out_degree,total_unique_out",0.8270750988142292,0.8221544517009138
"total_out_degree,avg_in_transaction",0.8283926218708827,0.8235094654022401
"total_out_degree,avg_out_transaction",0.8264163372859025,0.8214366188789215
"total_out_degree,total_received",0.8283926218708827,0.8233893375241105
"total_out_degree,total_sent",0.8300395256916996,0.8254938401701377
"total_out_degree,net_balance",0.8244400527009222,0.8192386990675119
"total_out_degree,avg_in_time_interval",0.8257575757575758,0.8209595746490608
"total_out_degree,avg_out_time_interval",0.8260869565217391,0.8212782012225714
"total_out_degree,avg_active_duration",0.8244400527009222,0.8196853730457831
"total_out_degree,in_out_ratio",0.8283926218708827,0.823588672913394
"total_out_degree,unique_in_ratio",0.8214756258234519,0.8162916162602671
"total_out_degree,unique_out_ratio",0.827733860342556,0.8231457952200754
"total_out_degree,volume_ratio",0.8274044795783926,0.8224731789949181
"total_out_degree,net_balance_ratio",0.8264163372859025,0.8214366188789215
"total_out_degree,activity_index",0.8306982872200264,0.8260939725361798
"total_out_degree,time_interval_ratio",0.8280632411067194,0.8231507622811971
"total_out_degree,weighted_avg_tx",0.8283926218708827,0.8236671803254456
"total_out_degree,wallet_lifetime_sec",0.8165349143610013,0.8113567760603827
"total_unique_in,total_unique_out",0.8270750988142292,0.8223133774872532
"total_unique_in,avg_in_transaction",0.8283926218708827,0.8234295559997165
"total_unique_in,avg_out_transaction",0.8264163372859025,0.821065659874983
"total_unique_in,total_received",0.8274044795783926,0.8222294136130943
"total_unique_in,total_sent",0.8270750988142292,0.8220739287905012
"total_unique_in,net_balance",0.8241106719367589,0.8189203739486881
"total_unique_in,avg_in_time_interval",0.825098814229249,0.8204795990078982
"total_unique_in,avg_out_time_interval",0.8244400527009222,0.8191970129185374
"total_unique_in,avg_active_duration",0.822463768115942,0.817615406400453
"total_unique_in,in_out_ratio",0.8260869565217391,0.8208308222203544
"total_unique_in,unique_in_ratio",0.8204874835309618,0.8149540505348497
"total_unique_in,unique_out_ratio",0.8260869565217391,0.8213964831215506
"total_unique_in,volume_ratio",0.8231225296442688,0.8177979612055744
"total_unique_in,net_balance_ratio",0.8241106719367589,0.8189618668672514
"total_unique_in,activity_index",0.8264163372859025,0.8212735354757574
